time(s),M_x,M_y
0.030080000000000003,-1784.292523853522,1993.4476488959353
0.030240000000000003,-1192.2210462626974,1758.5274736809342
0.030400000000000003,-573.2851536720954,1737.9892898245223
0.030560000000000004,-13.526941114016443,1876.8086208201282
0.030720000000000004,475.51514183855215,2183.432839157091
0.03088,820.5942747849111,2603.231159848699
0.03104,1060.1447288222878,3128.727074146037
0.031200000000000002,1139.3088040953069,3686.1196530256143
0.031360000000000006,1013.4575473023109,4274.941383258564
0.03152,751.3386759398464,4818.982813858907
0.03168,367.4419248776508,5278.275284867699
0.03184,-147.40011752744854,5652.399257159056
0.032,-722.1512426035669,5856.359895902838
0.03216,-1325.2104911155363,6026.496644901026
0.03232,-1924.5901632308946,5994.011526496155
0.03248,-2498.8919803085787,5890.164788886242
0.03264,-3009.7678390361784,5669.1741988022395
0.0328,-3456.875861380745,5331.976575020919
0.03296,-3889.593217698238,4999.293320698806
0.033120000000000004,-4188.789247115783,4599.05647006663
0.033280000000000004,-4442.957045499176,4208.771384461305
0.033440000000000004,-4557.636541178614,3807.3516396563155
0.033600000000000005,-4690.244786156462,3450.7124037394547
0.033760000000000005,-4743.401693519639,3135.964039910426
0.033920000000000006,-4812.721497417755,2894.468564892241
0.034080000000000006,-4828.915673104231,2674.3476771507785
0.03424,-4865.382123466797,2476.463655006573
0.0344,-4970.743425252214,2280.346550099582
0.03456,-5089.636371851866,2091.393626427519
0.03472,-5240.548806927223,1834.4806776328774
0.03488,-5397.372164620836,1531.7671993580966
0.03504,-5584.0472873453255,1212.5139371567568
0.0352,-5707.360056300414,808.7828013438466
0.03536,-5759.186853681875,374.1048117639759
0.03552,-5790.622792192619,-97.65788726590725
0.03568,-5733.572685838861,-613.3818325202969
0.035840000000000004,-5569.511479868439,-1124.8310331825996
0.036000000000000004,-5301.95552227258,-1635.883539963203
0.036160000000000005,-4929.114359116857,-2082.047647039378
0.036320000000000005,-4502.759153108019,-2511.2130182404057
0.036480000000000005,-3932.353155263977,-2809.429731814042
0.036640000000000006,-3340.2396991957853,-3004.6604030347835
0.036800000000000006,-2724.7563134660063,-3030.7293377159403
0.03696,-2163.092711103411,-2906.2586578777764
0.03712,-1641.4859744514017,-2684.667322483729
0.03728,-1187.7914980745113,-2327.7903722936458
0.03744,-860.3821288746062,-1874.6624143018212
0.0376,-689.0486293488077,-1361.1544304391614
0.03776,-637.7918804020925,-815.074123207269
0.03792,-752.6784298717164,-291.19338859935027
0.03808,-1032.3437588896602,159.84879222975283
0.03824,-1452.0223126380386,535.7094306882672
0.038400000000000004,-1957.0781020362824,760.2484940351875
0.038560000000000004,-2545.470367153143,841.9921258168629
0.038720000000000004,-3143.6943938039044,758.6596714434992
0.038880000000000005,-3743.7784200069973,505.89479486548265
0.039040000000000005,-4275.654571568562,83.85139897036031
0.039200000000000006,-4672.78065690187,-452.0526939419525
0.039360000000000006,-4966.837043163734,-1124.2189425840243
0.039520000000000007,-5109.516601758076,-1891.4229264120395
0.03968,-5026.639478302959,-2675.263342923673
0.03984,-4786.30899246334,-3452.7911299008842
0.04,-4376.289227814597,-4188.463026854735
0.04016,-3838.0897564908455,-4795.192790089398
0.04032,-3177.8165090609014,-5237.7143135060605
0.04048,-2407.291021427028,-5559.01860735537
0.04064,-1641.229518161843,-5705.650802606665
0.0408,-876.2740668024919,-5683.844885110286
0.04096,-134.0061810429574,-5455.257564430831
0.041120000000000004,564.0751539811214,-5162.119245831334
0.041280000000000004,1122.1971612188324,-4718.931052517067
0.041440000000000005,1520.1480863303334,-4186.6631200295415
0.041600000000000005,1806.0189697417952,-3630.1310999359903
0.041760000000000005,1876.4300320901325,-3039.8760876508118
0.041920000000000006,1840.0115467324827,-2531.9360384093857
0.042080000000000006,1681.6526174285486,-2068.1599857973483
0.04224000000000001,1459.4171298506978,-1711.9384511970027
0.0424,1129.46980959879,-1484.4273225701709
0.04256,817.1895691638122,-1354.7372277320349
0.04272,491.5947728717874,-1355.8748135352582
0.04288,245.37791099647288,-1466.9054842817818
0.04304,44.03648723183774,-1642.8642132032246
0.0432,-56.11372428416597,-1870.342552399534
0.04336,-61.72875049596155,-2159.5650451178526
0.04352,34.94886562908769,-2408.9210218662597
0.043680000000000004,199.5198362477279,-2661.6326292667763
0.043840000000000004,470.9924567468534,-2834.775452116268
0.044000000000000004,737.3814235895856,-2938.201049340649
0.044160000000000005,1080.1041937868827,-2970.6205524922107
0.044320000000000005,1431.4054578033445,-2876.900717683166
0.044480000000000006,1778.2008499544133,-2736.1113915150804
0.044640000000000006,2038.7939210296372,-2468.610104198914
0.044800000000000006,2250.737175747946,-2210.0050788594767
0.04496000000000001,2359.25553379297,-1848.2211048698714
0.04512,2393.3130163878045,-1526.8799456563897
0.04528,2350.9039730386007,-1257.7911367719994
0.04544,2239.679786424371,-960.1125556169388
0.0456,2073.7763130326084,-749.5709307786086
0.04576,1858.9810602138011,-624.9574840859052
0.04592,1645.7538409054546,-542.4827135096534
0.04608,1437.1646064815407,-561.1345043237387
0.04624,1292.3099004203648,-629.8570747653558
0.046400000000000004,1165.9166172364667,-775.7393437154076
0.046560000000000004,1134.4791684467352,-944.3512295271724
0.046720000000000005,1156.8155486918986,-1122.128379838491
0.046880000000000005,1243.9098532743642,-1296.5968728134014
0.047040000000000005,1436.7148344817313,-1459.563717893034
0.047200000000000006,1673.852845290096,-1521.0970692215892
0.047360000000000006,1941.78131410774,-1558.8031583957495
0.04752000000000001,2236.9592735763454,-1479.6278470109949
0.04768000000000001,2535.4393670679056,-1337.5631448273482
0.04784,2790.3104550652897,-1091.8274523782395
0.048,3020.480939339267,-790.4786749328019
0.04816,3157.5360916155787,-456.5362573490655
0.04832,3207.445580725823,-82.187990432106
0.04848,3212.470106050095,337.46064887466343
0.04864,3066.269404783648,678.486784396007
0.0488,2889.764027653682,1054.3040705691606
0.048960000000000004,2624.8107811449154,1320.9138019878167
0.049120000000000004,2305.9146089431815,1581.0382225759022
0.049280000000000004,1971.630822818203,1724.4467091347378
0.049440000000000005,1634.697088446512,1790.156664215467
0.049600000000000005,1266.2568509627629,1747.52740217431
0.049760000000000006,984.0234926860161,1660.2190109964988
0.049920000000000006,730.5993338401344,1478.3576659912244
0.050080000000000006,556.7233342292417,1296.7872771424736
0.05024000000000001,447.3238830628179,1074.4492907510082
0.05040000000000001,439.42270387869263,863.3902315946677
0.05056,454.60102588746986,661.3872328494894
0.05072,542.7584667975858,505.9608468259692
0.05088,649.9705154020272,392.62731905760455
0.05104,816.0151179964162,346.4265383518886
0.0512,961.9170478674888,360.5543066585462
0.05136,1107.3599348093119,428.3673798161408
0.05152,1237.645334313916,545.1059771282518
0.051680000000000004,1305.1958554776095,702.4663481783004
0.051840000000000004,1317.4498406616697,880.4720874024599
0.052000000000000005,1296.4589643262036,1051.9275192112393
0.052160000000000005,1207.9874763675923,1228.0792090183518
0.052320000000000005,1067.2992570089953,1382.5341308290785
0.052480000000000006,906.1744155067839,1491.2857723890936
0.052640000000000006,700.2501229426513,1560.5099556116293
0.05280000000000001,494.6663527996058,1576.5802884212258
0.05296000000000001,290.0575496248338,1541.815194630963
0.05312000000000001,117.41231821100814,1447.6937984748115
0.05328,-2.183963492965265,1341.0908108129067
0.05344,-90.19710907342312,1190.4325393144306
0.0536,-131.66445708238365,1036.2166055061916
0.05376,-110.34314808122717,890.9129917614937
0.05392,-64.08932564966592,775.2272954525774
0.05408,18.574702899318943,710.2169088767707
0.054240000000000003,130.23469598176797,645.1553547767522
0.054400000000000004,218.97005515387693,665.4508204235415
0.054560000000000004,344.88724563249906,730.1471417547205
0.054720000000000005,399.3516360867954,810.8146451702366
0.054880000000000005,454.1689587244521,960.5445590934934
0.055040000000000006,459.4002467007926,1106.0757063753551
0.055200000000000006,393.12872258300087,1286.0626313933992
0.055360000000000006,268.92061293487035,1427.1205506713313
0.05552000000000001,77.43129398012132,1566.0600307289465
0.05568000000000001,-108.99820825163307,1636.7234370409278
0.05584000000000001,-379.6633207886444,1684.7356609197573
0.056,-626.0530732156293,1614.8245009158961
0.05616,-880.841286928155,1527.3140143939677
0.05632,-1122.6214768294624,1364.7986699467192
0.05648,-1288.197738270963,1133.9069364761065
0.05664,-1400.54115079086,886.9562336805592
0.0568,-1466.4052271127246,608.6144003502167
0.056960000000000004,-1451.128855244696,297.641561123763
0.057120000000000004,-1348.2253050578797,42.12413740669163
0.057280000000000005,-1210.0494438911135,-237.32866078522375
0.057440000000000005,-998.8852110897005,-403.80946106467746
0.057600000000000005,-753.2503798022937,-559.4190093565883
0.057760000000000006,-480.6215588565347,-609.1302607027774
0.057920000000000006,-195.46664776332267,-580.6656687247154
0.05808000000000001,48.54354184583455,-490.270130827847
0.05824000000000001,258.9959874394417,-321.2813030360654
0.05840000000000001,409.1142068273773,-112.15770279297514
0.05856000000000001,492.512485709573,128.93811237393504
0.05872,481.03160869939023,390.65967118619983
0.05888,408.0068629961451,637.7240816128988
0.05904,272.7892744409575,864.2453770313147
0.0592,53.35659171975503,1042.8984072721105
0.05936,-176.8870046140665,1141.1915943034253
0.05952,-472.78844230552244,1169.3381542800037
0.059680000000000004,-749.4477429624945,1121.5090107869694
0.059840000000000004,-1002.8600470281401,1012.087769752038
0.060000000000000005,-1225.7257576504683,825.7779252867189
0.060160000000000005,-1400.248238550107,576.2751057501223
0.060320000000000006,-1494.2812015029626,293.4212775558458
0.060480000000000006,-1520.870518275573,-36.99435655475184
0.060640000000000006,-1454.4688463210373,-333.4072602328022
0.06080000000000001,-1318.804406245285,-623.2286695498633
0.06096000000000001,-1109.684754562918,-842.9279711005506
0.06112000000000001,-866.7198144832959,-1015.5507666831696
0.06128000000000001,-594.2278375509914,-1107.9361881251934
0.06144000000000001,-273.9967879808615,-1134.0673262848418
0.0616,-9.768575464262494,-1085.2509152380549
0.06176,256.19050775133576,-966.7645612161094
0.06192,482.28653226217244,-764.8770897153194
0.06208,612.0090799023823,-532.2431948455744
0.062240000000000004,701.2889492374613,-253.24348034955892
0.062400000000000004,693.9865774752847,7.50496749993363
0.06256,635.1041933768543,239.75894532202017
